year,Africa,Asia,Central America,Europe,Middle East,North America,Oceania,South America
1978,1.027543384329,1.5336429982524,1.9157493607901,10.886792369904,4.1671567041436,17.60116776593,11.698792384245,2.0031356738962
1979,1.0781617697505,1.5623523403754,1.9489740337237,11.124007690487,4.2928724453915,17.554178134258,11.665608168062,2.0982491225905
1980,1.1252627473568,1.5401073651771,1.8951798518812,11.073081241579,4.0425544139581,16.872140884294,12.403003070011,2.1111937808517
1981,1.1203765828188,1.5031150259351,1.7420284250605,10.62548117355,3.8905345664723,16.098340875426,12.676969088175,1.9874769596698
1982,1.1351604291441,1.5283113006441,1.7482005244769,10.49765459333,3.8440773800127,15.221765027721,12.759735902708,1.949487794493
1983,1.1475633884426,1.5579237409963,1.5417879091547,10.468928103875,3.9147645138759,15.038194941497,12.112532137247,1.8888428762131
1984,1.2182863437123,1.618826525476,1.6691379279639,10.491870168828,3.9670753431124,15.293210049069,12.558387650317,1.8722835593908
1985,1.2142972939077,1.6788668979365,1.7402109215616,10.904651513663,4.1384074864122,15.17458224148,12.740244782817,1.8713672017668
1986,1.2229701180936,1.707315384869,1.4576547082436,10.884152354285,4.2652714936623,14.968199145548,12.54501577242,1.9361654374479
1987,1.1890841988053,1.7473755278901,1.5140099099991,10.86383366477,4.2298776716863,15.447735984243,13.165021361962,1.9956828584
1988,1.2151993232096,1.8498468727636,1.4864491917007,10.886753227714,4.3747782473799,15.907635851943,13.267715076054,2.0377834422118
1989,1.1384131083759,1.8726117094368,1.5489105270295,10.81421319041,4.4967815199044,16.062881394582,13.835994046414,1.997781371498
1990,1.0428622593858,1.8989144425561,1.5087757635268,11.082609080494,4.3775199705772,16.226843632012,13.683004936133,1.9728731933222
1991,1.0602949731714,1.9397496440637,1.4509975136233,10.645307045719,4.7532093803744,15.909332439964,13.591023363887,1.9586453127027
1992,1.0062532144069,1.9687911174058,1.3846532149831,9.7541769817726,5.0104628034016,16.045495744324,13.724043043712,1.9546416071582
1993,1.0401757964273,2.0168059699748,1.3713881386653,9.3422090546351,5.3320267111777,16.154318405522,13.726726262514,2.032275082938
1994,1.029251382446,2.0744497156776,1.4225359278495,8.8452862377376,5.4457392872299,16.281774706418,13.772842663449,2.05595898178
1995,1.0761254354352,2.1568526054608,1.5293657146997,8.8178297506097,5.0902475343376,16.222957609865,14.095193792677,2.1225997286672
1996,1.063929909643,2.2195066038201,1.6076257816669,8.8803885516249,5.1852859771351,16.575190724626,14.283908446909,2.186223038393
1997,1.077490290952,2.2257477968054,1.5929131669882,8.6101227717703,5.0054820376872,16.649694976212,14.539552653641,2.2743882151396
1998,1.0823745113806,2.1061097644701,1.5564541960326,8.5756206603389,5.1030455269626,16.624717594731,14.886972634434,2.3980598789465
1999,1.0464547182983,2.1233608780285,1.6284678759615,8.4621324746013,5.4057315241949,16.657085497731,15.179407393812,2.4078458864282
2000,1.0962198039414,2.1836353692252,1.7432671050811,8.4691883789794,5.8368922072028,16.936620871923,15.301272141554,2.3148050894694
2001,1.0623010534456,2.1939973515312,1.793244872795,8.6489731880534,5.8052716366011,16.533042898282,15.510472444634,2.3148086041265
2002,1.0431388117326,2.302307494174,1.8313186566339,8.5868952740317,5.7652616625412,16.480946349011,15.531637107541,2.3121304564638
2003,1.1054356412245,2.4941545232774,1.876051253285,8.769817459605,6.0206781797277,16.531928051048,15.721062343654,2.2907036199084
2004,1.1535146734889,2.694485487823,1.8445722574807,8.7965895111082,6.4143961263225,16.633111957094,16.012853244323,2.2859027816172
2005,1.1449470897515,2.8669360321527,1.9201265635166,8.7684577111953,6.529013381962,16.555047005859,15.971539092106,2.3658821592753
2006,1.1592316850019,3.0238787308633,2.0086702307545,8.8845639141169,6.8298199171836,16.209503982602,15.942894755644,2.3860553814305
2007,1.1749769652982,3.1822525398063,2.0490283442979,8.7973283746178,6.6654380506235,16.268184071882,15.927847136344,2.4085717622709
2008,1.1967660731994,3.3334810021822,2.0142667084144,8.6824158998764,7.0065428349603,15.629625565088,15.836590943464,2.5726938733103
