year,global_emissions,description,compatible_with_degrees
2042,18,SR15 P4,1.5
2043,15.9,SR15 P4,1.5
2044,13.8,SR15 P4,1.5
2045,11.7,SR15 P4,1.5
2046,9.6,SR15 P4,1.5
2047,7.5,SR15 P4,1.5
2048,5.4,SR15 P4,1.5
2049,3.3,SR15 P4,1.5
2050,1.3,SR15 P4,1.5
2051,-0.2,SR15 P4,1.5
2052,-1.6,SR15 P4,1.5
2053,-3,SR15 P4,1.5
2054,-4.4,SR15 P4,1.5
2055,-5.8,SR15 P4,1.5
2056,-7.2,SR15 P4,1.5
2057,-8.6,SR15 P4,1.5
2058,-10,SR15 P4,1.5
2059,-11.4,SR15 P4,1.5
2060,-12.8,SR15 P4,1.5
2061,-13.2,SR15 P4,1.5
2062,-13.5,SR15 P4,1.5
2063,-13.9,SR15 P4,1.5
2064,-14.2,SR15 P4,1.5
2065,-14.5,SR15 P4,1.5
2066,-14.9,SR15 P4,1.5
2067,-15.2,SR15 P4,1.5
2068,-15.6,SR15 P4,1.5
2069,-15.9,SR15 P4,1.5
2070,-16.3,SR15 P4,1.5
2071,-16.4,SR15 P4,1.5
2072,-16.6,SR15 P4,1.5
2073,-16.8,SR15 P4,1.5
2074,-16.9,SR15 P4,1.5
2075,-17.1,SR15 P4,1.5
2076,-17.3,SR15 P4,1.5
2077,-17.4,SR15 P4,1.5
2078,-17.6,SR15 P4,1.5
2079,-17.8,SR15 P4,1.5
2080,-17.9,SR15 P4,1.5
2081,-18.1,SR15 P4,1.5
2082,-18.3,SR15 P4,1.5
2083,-18.4,SR15 P4,1.5
2084,-18.6,SR15 P4,1.5
2085,-18.7,SR15 P4,1.5
2086,-18.9,SR15 P4,1.5
2087,-19.1,SR15 P4,1.5
2088,-19.2,SR15 P4,1.5
2089,-19.4,SR15 P4,1.5
2090,-19.6,SR15 P4,1.5
2091,-19.7,SR15 P4,1.5
2092,-19.9,SR15 P4,1.5
2093,-20.1,SR15 P4,1.5
2094,-20.3,SR15 P4,1.5
2095,-20.4,SR15 P4,1.5
2096,-20.6,SR15 P4,1.5
2097,-20.8,SR15 P4,1.5
2098,-21,SR15 P4,1.5
2099,-21.1,SR15 P4,1.5
2100,-21.3,SR15 P4,1.5
